domain,bucket,count
www.youtube.com,videos,17
pmc.ncbi.nlm.nih.gov,sources,5
pmc.ncbi.nlm.nih.gov,thermal_evidence,4
www.vidal.fr,sources,3
ard.bmj.com,sources,2
www.medecinethermale.fr,sources,2
www.medecinethermale.fr,thermal_evidence,2
www.arthritis-uk.org,sources,2
www.physio-pedia.com,sources,2
www.academie-medecine.fr,sources,2
www.academie-medecine.fr,thermal_evidence,2
www.mpedia.fr,videos,1
www.kinejouvenet.com,sources,1
www.liguepulmonaire.ch,videos,1
www.mpedia.fr,sources,1
www.nhsaaa.net,sources,1
www.hss.edu,sources,1
www.surreyphysio.co.uk,sources,1
www.thermesderoyat.fr,thermal_evidence,1
www.tminstitute.fr,sources,1
www.training-therapie.fr,sources,1
www.westernregionhealth.com.au,sources,1
www.who.int,sources,1
www.jospt.org,sources,1
,thermal_evidence,1
www.healyos.com,videos,1
www.healyos.com,sources,1
firstlinephysio.co.uk,sources,1
heritagehospitals.com,sources,1
heritagehospitals.com,videos,1
medqual.fr,sources,1
mss.avignon-sport.fr,sources,1
pdfs.semanticscholar.org,sources,1
roh.nhs.uk,sources,1
splf.fr,sources,1
toutpourmasante.fr,sources,1
www.afreth.org,sources,1
www.afreth.org,thermal_evidence,1
www.arthritis.org,sources,1
www.audibene.fr,videos,1
www.choosept.com,sources,1
www.has-sante.fr,sources,1
www.doctissimo.fr,sources,1
